	Date	Time	Tweet	Picture	Longitude	Lattitude
0	26.11.2021	18:01:07	"""Cher et excellent voisin, j'ai remis de jour en jour à vous donner de mes nouvelles,  "" à Langlès, 1823-06-30 (https://constance-de-salm.de/archiv/#/document/70)"		6.5	51.1
1	26.11.2021	20:41:38	"""Je vais retourner à Paris dans 15 jours, Monsieur, "" à Raboteau, 1805-10-18 (https://constance-de-salm.de/archiv/#/document/1790)"		6.5	51.1
2	27.11.2021	16:34:02	"""Nous avons bien regretté, Monsieur, de ne pas vous avoir vu avant, pendant ni après notre fête du 15. "" à Théremin, 1807-08-18 (https://constance-de-salm.de/archiv/#/document/2089)"		6.5	51.1
3	27.11.2021	13:50:34	"""Je ne vous ai pas encore écrit, Monsieur,"" à Raboteau, 1807-05-28 (https://constance-de-salm.de/archiv/#/document/2077)"		6.5	51.1
4	28.11.2021	12:41:58	"""Je ne serai jamais embarrassée, Monsieur, quand il faudra dire du bien de vous"" à Lefrançois de Lalande, 1807-01-31 (https://constance-de-salm.de/archiv/#/document/2072)"			
5	28.11.2021	08:38:15	"""J’ai appris avec bien du plaisir, Monsieur, le succès de mon éloge de Lalande. "" à Feuillet, 1809-06-30 (https://constance-de-salm.de/archiv/#/document/2128)"		6.5	51.1
6	29.11.2021	15:26:54	"""Je profite d’un contreseing, Monsieur et ami, pour vous dire que j’ai reçu votre aimable lettre,"" à Raboteau, 1809-07-20 (https://constance-de-salm.de/archiv/#/document/2130)"		6.5	51.1
7	29.11.2021	15:47:15	"""La dame, auteur de l‘Épître jointe à cette lettre, s’empresse de l’adresser à Monsieur de Méneval "" à Méneval, 1810-02-16 (https://constance-de-salm.de/archiv/#/document/2142)"		2.3488	48.85341
8	30.11.2021	11:45:06	"""Lorsqu’entré dans son cabinet / On fait le plan de sa journée "" à Raboteau, 1808-06-11 (https://constance-de-salm.de/archiv/#/document/2104)"		6.5	51.1
9	30.11.2021	20:22:52	"""J’ai quitté la campagne et je suis près de vous / Vous ne m’écrivez plus, et je m’en plains avec cause / "" à Gudin de La Brenellerie, 1808-10-21 (https://constance-de-salm.de/archiv/#/document/2109)"		2.3488	48.85341
10	1.12.2021	16:02:36	"""Madame de Locquenghien, ci-devant baronne peu fortunée et mère de 9 enfants, dont plusieurs sont encore à sa charge"" à Beugnot, 1808-11-12 (https://constance-de-salm.de/archiv/#/document/2111)"		2.3488	48.85341
11	1.12.2021	09:45:16	"""Je pars, je vais revoir les rives de la Seine / Ces beaux lieux où chacun peut vivre satisfait / Ces beaux lieux où, du moins, le bonheur et la peine /"" à Raboteau, 1809-10-12 (https://constance-de-salm.de/archiv/#/document/2135)"		6.5	51.1
12	2.12.2021	15:56:31	"""Je suis arrivée ici, Monsieur, en assés bon état quoiqu’excédée de fatigue :"" à Raboteau, 1810-07-27 (https://constance-de-salm.de/archiv/#/document/2161)"		6.5	51.1
13	2.12.2021	14:49:11	"""Je m’empresse, Monsieur le baron, de vous remercier de votre charmante réception à laquelle j’ai été bien sensible "" à Ladoucette, 1811-05-08 (https://constance-de-salm.de/archiv/#/document/2205)"		6.5	51.1
14	3.12.2021	11:27:52	"""Je pars le cœur rempli de votre grâce extrême / De vos nobles bontés, dont l’attrait est si doux / Je m’éloigne à regrets, de ce charme suprême "" à Bonaparte, 1811-08-31 (https://constance-de-salm.de/archiv/#/document/2229)"		6.08342	50.77664
15	3.12.2021	10:36:14	"""J'ai appris avec beaucoup de satisfaction, Monsieur, que la Société d'émulation et d'agriculture de l'Ain m'a admise"" à Gauthier (= Lacroix Gauthier?), 1812-01-23 (https://constance-de-salm.de/archiv/#/document/2250)"		2.3488	48.85341
16	4.12.2021	20:33:28	"""Voilà bien longtemps que je ne vous ai écrit, Monsieur et ami; mais le voyage de l’Empereur "" à Raboteau, 1811-11-16 (https://constance-de-salm.de/archiv/#/document/2236)"		6.5	51.1
