FuD_Key;Verfasser;Verfasser_GND;Verfasser_VIAF;Empfaenger;Empfaenger_GND;Empfaenger_VIAF;Datierung;Datierung_alt;Ausstellungs_Ort;Ort_long;Ort_lat;Ausstellungsort_Geonames;Vorlage;Vollstaendigkeit;Erlaeuterung_Unvollstaendigkeit;Seiten;Anfang_Brief;Inhalt_Stichpunkte;Weitere_Personen;Weitere_Personen_GND;Weitere_Personen_VIAF;Orte;Orte_Geonames;Schlagwoerter;Editionen;Vermerk;Bestand;Verweise;Digitalisate_Signatur;Hand_Nr;Verfasser_1_Gender;Verfasser_2_Gender;Empfaenger_Gender;URL;Nr;sentiments;Austellungsort_Geonames;Austellungsort_Koordinaten
CdS-b1-08jg;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Pailliet, Jean Baptiste Joseph (Anwalt der CdS in Orléans, um 1829);http://d-nb.info/gnd/121286169;http://viaf.org/viaf/17555308;1841-11-09;;Dyck (Schloss), Gde. Jüchen;6.5;51.1;;;vollständig;;2;Il y a bien longtemps, Monsieur, que nous n’avons entendu parler l’un de l’autre, et j’oserais à peine;Bitte um Sterbeurkunde ihres geschiedenen Mannes. Vorbereitung einer neuen, größeren Werkausgabe.;Pipelet, Jean-Baptiste;;https://viaf.org/viaf/188712285;;;"CdS: Œuvres complètes (1842); Tod/Trauer; CdS: Vierbändige Werkausgabe (1835/1836), 2 Prosa- und 2 Poesiebände";;;Schloss Dyck;;"CdS-b1-08jg-0.jpg (CdS/31/166); CdS-b1-08jg-1.jpg (CdS/31/167)";main1;Female;Female;Female;https://constance-de-salm.de/archiv/#/document/11374;CdS/31/166-167;négatif;https://www.geonames.org/2894637;51.1, 6.5
CdS-b1-06lp;Carrion de Nisas, Henri de, baron;http://d-nb.info/gnd/122131983;http://viaf.org/viaf/61543208;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1810-05-22;;Sainte-Geneviève-des-Bois;2.31965;48.64682;;;vollständig;;1;Agréez, Madame la comtesse, mes plus respectueuses actions de grâce de l’envoi poétique;Dank für Zusendung der „Cantate sur le mariage de Sa Majesté l’Empereur“. Bewunderung für CdS. Grüße an seinen Kollegen SRD.;Salm-Reifferscheidt-Dyck, Joseph Fürst und Altgraf zu (SRD);http://d-nb.info/gnd/1159074453;http://viaf.org/viaf/1847152636116120051820;;;CdS: Cantate sur le mariage de Sa Majesté l'Empereur (1810);;;Schloss Dyck;;CdS-b1-06lp-0.jpg (CdS/02_1/206);main1;Male;;Female;https://constance-de-salm.de/archiv/#/document/8737;CdS/02_1/206;positif;https://www.geonames.org/2980558;48.64682, 2.31965
CdS-b1-06ne;Girodet-Trioson, Anne-Louis, eigentl. Girodet de Roussy;http://d-nb.info/gnd/118817310;http://viaf.org/viaf/27073449;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1817-05-20;"1813-05-20; 1817 ist Datum des Originals";;;;;;vollständig;;2;Madame et ancienne amie, depuis le jour où j’eus l’honneur de vous voir, je n’ai cessé d’être de plus en plus malade.;Krankheit Girodets. Wahrscheinlich kein Treffen mehr mit CdS vor deren Abreise. Wünscht gute Reise und hofft auf neue Werke aus ihrer Feder. Grüße an SRD, bedauert dessen Abwesenheit aus Paris. Bittet um regelmäßige Nachrichten von CdS.;Salm-Reifferscheidt-Dyck, Joseph Fürst und Altgraf zu (SRD);http://d-nb.info/gnd/1159074453;http://viaf.org/viaf/1847152636116120051820;;;;;;Schloss Dyck;"Original: C07/S58/162-164(https://constance-de-salm.de/archiv/#/document/3367); Abschrift: C02/S09/607-608(https://constance-de-salm.de/archiv/#/document/2300)";"CdS-b1-06ne-0.jpg (CdS/02_1/299); CdS-b1-06ne-1.jpg (CdS/02_1/300); CdS-b1-06ne-2.jpg (CdS/02_1/301)";main1;Female;;Female;https://constance-de-salm.de/archiv/#/document/8799;CdS/02_1/299-301;positif;;
CdS-b1-08je;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Pailliet, Jean Baptiste Joseph (Anwalt der CdS in Orléans, um 1829);http://d-nb.info/gnd/121286169;http://viaf.org/viaf/17555308;1829-06-03;;Dyck (Schloss), Gde. Jüchen;6.5;51.1;;;vollständig;;8;Après avoir reçu votre dernière lettre, Monsieur, je me suis décidée, quoique avec beaucoup de regret à quitter Paris;CdS wieder auf Schloss Dyck. Bitte an Berville, ihr ein Gutachten zu erstellen. Angeblicher Wohlstand der Erben Pipelet. P.s Lob ihrer „Pensées“ [Abschrift aus dem vorangegangenen Brief]. Fortsetzung 1829-06-07: P. in Paris. Spekulationen über vermeintlichen Reichtum der Erben Pipelet. Ausführungen zum Wert eines Landgutes aus CdS’ Besitz.;"Théis, Alexandre Étienne Guillaume, baron de (Bruder der CdS); Carlier, [Jean?] (Bürgermeister von Coucy bzw. Folembray); Berville, Saint-Albin; Dufour, Monsieur (Jurist); Lemaître, Monsieur (CdS' Anwalt in Laon)";"http://d-nb.info/gnd/120564734; n/a; http://d-nb.info/gnd/123728851; n/a; n/a";"http://viaf.org/viaf/32148970; n/a; http://viaf.org/viaf/46869684; n/a; n/a";Tours;https://www.geonames.org/2972191;"Wirtschaft/Finanzen; Prozess/Gericht";;;Schloss Dyck;;"CdS-b1-08je-0.jpg (CdS/31/132); CdS-b1-08je-1.jpg (CdS/31/133); CdS-b1-08je-2.jpg (CdS/31/134); CdS-b1-08je-3.jpg (CdS/31/135)";main1;Female;Female;Female;https://constance-de-salm.de/archiv/#/document/11372;CdS/31/132-135;négatif;https://www.geonames.org/2894637;51.1, 6.5
CdS-b1-06n9;Marchangy, Louis Antoine François Émilien (Ehekandidat 1812 für Minette);http://d-nb.info/gnd/128410914;http://viaf.org/viaf/2585311;Martini, Jean Paul Égide, eigentl. Johann Paul Ägidius Martin bzw. Schwarzendorf;http://d-nb.info/gnd/120252805;http://viaf.org/viaf/19866122;;;;;;;;vollständig;;1;Monsieur et ami! Je suis bien sensible à l’attachement que vous m’exprimez avec tant de grâce dans votre dernière lettre;Dank für Martinis Freundschaft und Unterstützung. Warten auf Brief der CdS in einer Angelegenheit, die sie zuvor mit ihrer Familie besprechen muss. Besuch Martinis bei Marchangy. PS: Begegnung mit Langlès wie vereinbart.;Langlès, Louis-Mathieu;http://d-nb.info/gnd/116725087;http://viaf.org/viaf/32118316;;;;;;Schloss Dyck;Abschrift: C02/S09/571(https://constance-de-salm.de/archiv/#/document/2275);CdS-b1-06n9-0.jpg (CdS/02_1/290);main1;Male;;Female;https://constance-de-salm.de/archiv/#/document/8793;CdS/02_1/290;positif;;
CdS-b1-06lv;Dufresnoy, Adélaïde-Gillette, geb. Billet;http://d-nb.info/gnd/124877338;http://viaf.org/viaf/17491388;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1811-01-28;;Paris;2.3488;48.85341;;;vollständig;;2;Madame la comtesse! J'ai l'honneur de vous envoyer un exemplaire d'un roman que je viens de faire paraître.;Zusendung eines Romans der D. Bedauern, dieses nicht persönlich übergeben zu können.;;;;;;Briefpartner/Werk;;Diese Abschrift beinhaltet eine zweiseitige Notiz der CdS im Anschluss an den Brief, in der sie auf ihr Verhältnis zu Dufresnoy eingeht, das vor allem durch die Rivalität zwischen beiden Schriftstellerinnen geprägt war.;Schloss Dyck;Original: C07/S58/030-031(https://constance-de-salm.de/archiv/#/document/3310);"CdS-b1-06lv-0.jpg (CdS/02_1/231); CdS-b1-06lv-1.jpg (CdS/02_1/232)";main1;Female;Female;Female;https://constance-de-salm.de/archiv/#/document/8743;CdS/02_1/231-232;positif;https://www.geonames.org/2988507;48.85341, 2.3488
CdS-b1-08jf;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Pailliet, Jean Baptiste Joseph (Anwalt der CdS in Orléans, um 1829);http://d-nb.info/gnd/121286169;http://viaf.org/viaf/17555308;1837-04-13;;Paris;2.3488;48.85341;;;vollständig;;5;Je vous ai fait envoyer hier, Monsieur, la signification du jugement que j’ai reçue à Dyck;Verlorener Prozess. Suche nach Ursachen. Weiteres Vorgehen. Finanzielle Fragen. CdS’ Vertrauen in P.;Salm-Reifferscheidt-Dyck, Joseph Fürst und Altgraf zu (SRD);http://d-nb.info/gnd/1159074453;http://viaf.org/viaf/1847152636116120051820;;;"Wirtschaft/Finanzen; Prozess/Gericht";;;Schloss Dyck;;"CdS-b1-08jf-0.jpg (CdS/31/158); CdS-b1-08jf-1.jpg (CdS/31/159); CdS-b1-08jf-2.jpg (CdS/31/160)";main1;Female;Female;Female;https://constance-de-salm.de/archiv/#/document/11373;CdS/31/158-160;neutral;https://www.geonames.org/2988507;48.85341, 2.3488
CdS-b1-077e;Francq, Constant de;;;Maleszewski, comtesse de;;;1835-02-10;;Aachen;6.08342;50.77664;;;unvollständig;Der Brief endet nach vier Seiten mitten in einem Satz.;4;"Voilà plus de deux ou plutôt près de trois mois que je n’ai eu l’honneur de vous écrire; et je me reprocherais bien vivement";"Bedauern, nicht früher geschrieben zu haben. Grund dafür ist Cs schwache Gesundheit; unleserliche Schrift als Folge der Schmerzen und der raschen Erschöpfung. Dank für Konfitüre, Pralinen und eine Zeichnung von Saussure auf dem Mont Blanc, die M. ihm gesandt hat. Kündigung des Hausangestellten der CdS, Charles, der Intrigen innerhalb der Dienerschaft gesponnen und die Angestellten gegeneinander aufgebracht hat. Große Feier in Dyck anlässlich des Namenstags von Cs verstorbener Mutter Minette (12. Dezember), die in einen spontanen Ball überging. C.s Krankheitsverlauf, Verschlechterung seines Zustands Ende Dezember. Stabiler Zustand seit der Reise nach Aachen, Hoffnung auf Besserung im Frühjahr. Liebevolle Pflege durch CdS. Überzeugung, dass ihm die Ärzte das Leben gerettet haben. [Hier bricht der Brief ab.]";"Saussure, Horace-Bénédict de; Francq, Agathe Clémence, baronne de, geb. Pipelet, gen. Minette";"http://d-nb.info/gnd/118804790; n/a";"http://viaf.org/viaf/36924377; n/a";"Dyck (Schloss), Gde. Jüchen; Mont Blanc";"https://www.geonames.org/2894637; https://www.geonames.org/3181986";"Wohnen/Haushalt; Gesundheit/Krankheit; Medizin/ Impfung";;;Schloss Dyck;;"CdS-b1-077e-0.jpg (CdS/02_6/016); CdS-b1-077e-1.jpg (CdS/02_6/017); CdS-b1-077e-2.jpg (CdS/02_6/018)";main4;Male;;Female;https://constance-de-salm.de/archiv/#/document/9564;CdS/02_6/016-018;positif;https://www.geonames.org/3247449;50.77664, 6.08342
CdS-b1-06ea;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Beaufort d'Hautpoul, Anne-Marie, comtesse de, geb. de Montgeroult;http://d-nb.info/gnd/1055091041;http://viaf.org/viaf/5267001;;an III;;;;;;vollständig;;1;Martini vient de me remettre votre lettre;Dank für Einladung und positive Beurteilung der „Sapho“. Abschluss in Versform.;Martini, Jean Paul Égide, eigentl. Johann Paul Ägidius Martin bzw. Schwarzendorf;http://d-nb.info/gnd/120252805;http://viaf.org/viaf/19866122;;;"Constance de Salm - Rezeption; CdS: Sapho (1794)";;;Schloss Dyck;;CdS-b1-06ea-0.jpg (CdS/02_1/031);main1;Female;Female;Female;https://constance-de-salm.de/archiv/#/document/8439;CdS/02_1/031;neutral;;
CdS-b1-06ec;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Thurot, Jean-François;http://d-nb.info/gnd/117627445;http://viaf.org/viaf/193518763;1794-06-28;10 messidor an II;;;;;;vollständig;;2;Citoyen aimable, je me reproche véritablement le long temps;Abschluss der Arbeiten an „Sapho“. Warten auf Freigabe des Stücks durch die Zensurbehörde. Ankündigung eines längeren Briefs an Thurot. Erfolgsaussichten der Tragödie „Sapho“. Zurückgezogenes Leben der CdS. Gemeinsame Bekannte. Frage nach Aufenthaltsort und Befinden Thurots. Grüße an seine Familie.;"Martini, Jean Paul Égide, eigentl. Johann Paul Ägidius Martin bzw. Schwarzendorf; Ginguené, Pierre-Louis; Dumont, Pierre-Joseph; Codrika, Panagiotis";"http://d-nb.info/gnd/120252805; http://d-nb.info/gnd/119365103; http://d-nb.info/gnd/1067652469; http://d-nb.info/gnd/1157658695";"http://viaf.org/viaf/19866122; http://viaf.org/viaf/2470889; http://viaf.org/viaf/116267531; http://viaf.org/viaf/33152636141420051961";;;"Pressefreiheit/Zensur; CdS: Sapho (1794); Vermarktung";;;Schloss Dyck;;"CdS-b1-06ec-0.jpg (CdS/02_1/032); CdS-b1-06ec-1.jpg (CdS/02_1/033)";main1;Female;Female;Female;https://constance-de-salm.de/archiv/#/document/8441;CdS/02_1/032-033;négatif;;
