fichier,résultat
sentence0,positif
sentence1,positif
sentence2,neutral
sentence3,positif
sentence4,positif
sentence5,positif
sentence6,négatif
sentence7,positif
sentence8,positif
sentence9,positif
sentence10,positif
sentence11,neutral
sentence12,négatif
sentence13,positif
sentence14,neutral
sentence15,positif
sentence16,positif
sentence17,positif
sentence18,négatif
sentence19,positif
sentence20,négatif
sentence21,positif
sentence22,négatif
sentence23,positif
sentence24,neutral
sentence25,positif
sentence26,neutral
sentence27,négatif
sentence28,positif
sentence29,neutral
sentence30,positif
sentence31,positif
sentence32,neutral
sentence33,neutral
sentence34,positif
sentence35,positif
sentence36,neutral
sentence37,positif
sentence38,neutral
sentence39,neutral
sentence40,positif
sentence41,positif
sentence42,négatif
sentence43,neutral
sentence44,neutral
sentence45,neutral
sentence46,neutral
sentence47,négatif
sentence48,neutral
sentence49,positif
sentence50,neutral
sentence51,positif
sentence52,neutral
sentence53,positif
sentence54,négatif
sentence55,positif
sentence56,négatif
sentence57,négatif
sentence58,positif
sentence59,neutral
sentence60,neutral
sentence61,négatif
sentence62,négatif
sentence63,neutral
sentence64,négatif
sentence65,neutral
sentence66,neutral
sentence67,négatif
sentence68,négatif
sentence69,positif
sentence70,neutral
sentence71,positif
sentence72,neutral
sentence73,neutral
sentence74,neutral
sentence75,positif
sentence76,positif
sentence77,neutral
sentence78,positif
sentence79,positif
sentence80,neutral
sentence81,positif
sentence82,négatif
sentence83,positif
sentence84,neutral
sentence85,négatif
sentence86,neutral
sentence87,positif
sentence88,neutral
sentence89,négatif
sentence90,négatif
sentence91,positif
sentence92,positif
sentence93,neutral
sentence94,neutral
sentence95,négatif
sentence96,négatif
sentence97,neutral
sentence98,neutral
sentence99,neutral
sentence100,positif
sentence101,positif
sentence102,négatif
sentence103,négatif
sentence104,neutral
sentence105,positif
sentence106,négatif
sentence107,positif
sentence108,négatif
sentence109,neutral
sentence110,neutral
sentence111,neutral
sentence112,neutral
sentence113,neutral
sentence114,neutral
sentence115,négatif
sentence116,négatif
sentence117,négatif
sentence118,positif
sentence119,neutral
sentence120,positif
sentence121,positif
sentence122,positif
sentence123,neutral
sentence124,négatif
sentence125,neutral
sentence126,positif
sentence127,neutral
sentence128,neutral
sentence129,négatif
sentence130,neutral
sentence131,négatif
sentence132,neutral
sentence133,neutral
sentence134,neutral
sentence135,positif
sentence136,neutral
sentence137,neutral
sentence138,négatif
sentence139,positif
sentence140,positif
sentence141,neutral
sentence142,positif
sentence143,positif
sentence144,positif
sentence145,positif
sentence146,neutral
sentence147,neutral
sentence148,négatif
sentence149,neutral
sentence150,négatif
sentence151,neutral
sentence152,neutral
sentence153,neutral
sentence154,neutral
sentence155,négatif
sentence156,positif
sentence157,négatif
sentence158,neutral
sentence159,neutral
sentence160,neutral
sentence161,négatif
sentence162,positif
sentence163,négatif
sentence164,négatif
sentence165,positif
sentence166,positif
sentence167,neutral
sentence168,neutral
sentence169,neutral
sentence170,positif
sentence171,neutral
sentence172,neutral
sentence173,négatif
sentence174,neutral
sentence175,négatif
sentence176,positif
sentence177,neutral
sentence178,positif
sentence179,négatif
sentence180,négatif
sentence181,positif
sentence182,neutral
sentence183,négatif
sentence184,négatif
sentence185,positif
sentence186,négatif
sentence187,négatif
sentence188,positif
sentence189,négatif
sentence190,neutral
sentence191,positif
sentence192,positif
sentence193,positif
sentence194,neutral
sentence195,positif
sentence196,neutral
sentence197,positif
sentence198,positif
sentence199,positif
sentence200,neutral
sentence201,positif
sentence202,positif
sentence203,positif
sentence204,neutral
sentence205,positif
sentence206,positif
sentence207,négatif
sentence208,positif
sentence209,négatif
sentence210,neutral
sentence211,positif
sentence212,positif
sentence213,neutral
sentence214,positif
sentence215,neutral
sentence216,positif
sentence217,neutral
sentence218,positif
sentence219,positif
sentence220,neutral
sentence221,positif
sentence222,neutral
sentence223,négatif
sentence224,neutral
sentence225,neutral
sentence226,neutral
sentence227,neutral
sentence228,positif
sentence229,négatif
sentence230,neutral
sentence231,neutral
sentence232,négatif
sentence233,neutral
sentence234,positif
sentence235,positif
sentence236,neutral
sentence237,positif
sentence238,neutral
sentence239,neutral
sentence240,neutral
sentence241,neutral
sentence242,négatif
sentence243,neutral
sentence244,positif
sentence245,positif
sentence246,négatif
sentence247,positif
sentence248,positif
sentence249,neutral
sentence250,positif
sentence251,négatif
sentence252,négatif
sentence253,positif
sentence254,neutral
sentence255,positif
sentence256,positif
sentence257,négatif
sentence258,neutral
sentence259,neutral
sentence260,négatif
sentence261,positif
sentence262,positif
sentence263,positif
sentence264,positif
sentence265,positif
sentence266,neutral
sentence267,neutral
sentence268,positif
sentence269,positif
sentence270,positif
sentence271,négatif
sentence272,négatif
sentence273,positif
sentence274,neutral
sentence275,positif
sentence276,positif
sentence277,positif
sentence278,positif
sentence279,neutral
sentence280,négatif
sentence281,positif
sentence282,neutral
sentence283,négatif
sentence284,neutral
sentence285,positif
sentence286,positif
sentence287,neutral
sentence288,positif
sentence289,positif
sentence290,positif
sentence291,négatif
sentence292,neutral
sentence293,neutral
sentence294,positif
sentence295,positif
sentence296,négatif
sentence297,négatif
sentence298,neutral
sentence299,négatif
sentence300,neutral
sentence301,neutral
sentence302,positif
sentence303,positif
sentence304,négatif
sentence305,positif
sentence306,positif
sentence307,positif
sentence308,négatif
sentence309,neutral
sentence310,positif
sentence311,neutral
sentence312,négatif
sentence313,positif
sentence314,positif
sentence315,négatif
sentence316,neutral
sentence317,neutral
sentence318,positif
sentence319,positif
sentence320,neutral
sentence321,neutral
sentence322,neutral
sentence323,neutral
sentence324,neutral
sentence325,neutral
sentence326,positif
sentence327,neutral
sentence328,positif
sentence329,neutral
sentence330,neutral
sentence331,négatif
sentence332,positif
sentence333,positif
sentence334,positif
sentence335,neutral
sentence336,positif
sentence337,neutral
sentence338,neutral
sentence339,positif
sentence340,neutral
sentence341,négatif
sentence342,neutral
sentence343,neutral
sentence344,neutral
sentence345,neutral
sentence346,positif
sentence347,négatif
sentence348,neutral
sentence349,positif
sentence350,positif
sentence351,neutral
sentence352,neutral
sentence353,positif
sentence354,négatif
sentence355,neutral
sentence356,neutral
sentence357,positif
sentence358,négatif
sentence359,négatif
sentence360,négatif
sentence361,négatif
sentence362,positif
sentence363,positif
sentence364,neutral
sentence365,neutral
sentence366,neutral
sentence367,négatif
sentence368,positif
sentence369,positif
sentence370,positif
sentence371,positif
sentence372,neutral
sentence373,neutral
sentence374,positif
sentence375,positif
sentence376,neutral
sentence377,neutral
sentence378,négatif
sentence379,négatif
sentence380,négatif
sentence381,neutral
sentence382,neutral
sentence383,positif
sentence384,positif
sentence385,négatif
sentence386,positif
sentence387,positif
sentence388,positif
sentence389,négatif
sentence390,positif
sentence391,positif
sentence392,neutral
sentence393,positif
sentence394,positif
sentence395,négatif
sentence396,neutral
sentence397,neutral
sentence398,neutral
sentence399,neutral
sentence400,neutral
sentence401,neutral
sentence402,neutral
sentence403,neutral
sentence404,neutral
sentence405,négatif
sentence406,neutral
sentence407,négatif
sentence408,neutral
sentence409,neutral
sentence410,négatif
sentence411,positif
sentence412,neutral
sentence413,négatif
sentence414,neutral
sentence415,neutral
sentence416,négatif
sentence417,positif
sentence418,neutral
sentence419,négatif
sentence420,neutral
sentence421,neutral
sentence422,positif
sentence423,neutral
sentence424,positif
sentence425,neutral
sentence426,négatif
sentence427,neutral
sentence428,négatif
sentence429,neutral
sentence430,positif
sentence431,négatif
sentence432,positif
sentence433,positif
sentence434,négatif
sentence435,positif
sentence436,neutral
sentence437,neutral
sentence438,négatif
sentence439,négatif
sentence440,neutral
sentence441,positif
sentence442,neutral
sentence443,négatif
sentence444,positif
sentence445,positif
sentence446,neutral
sentence447,négatif
sentence448,neutral
sentence449,positif
sentence450,neutral
sentence451,neutral
sentence452,positif
sentence453,négatif
sentence454,négatif
sentence455,neutral
sentence456,neutral
sentence457,négatif
sentence458,positif
sentence459,neutral
sentence460,neutral
sentence461,neutral
sentence462,positif
sentence463,négatif
sentence464,neutral
sentence465,neutral
sentence466,négatif
sentence467,neutral
sentence468,neutral
sentence469,neutral
sentence470,neutral
sentence471,neutral
sentence472,négatif
sentence473,neutral
sentence474,neutral
sentence475,positif
sentence476,positif
sentence477,neutral
sentence478,neutral
sentence479,neutral
sentence480,négatif
sentence481,négatif
