;FuD-Key;letzte Änderung;Dokumenttyp;URL;Nr.;Verfasser;GND (Verfasser);VIAF (Verfasser); Empfänger;GND (Empfänger);VIAF (Empfänger);Datierung (JJJJ-MM-TT);Alternative Datierung;Ausstellungsort;Geonames (Ausstellungsort);Empfangsort;Geonames (Empfangsort);Vorlage;Vollständigkeit des Archivals;Erläuterung Unvollständigkeit;Umfang in Seiten;Anfang des Briefes;Inhaltliche Stichpunkte;Weitere Personen;GND (Weitere Personen);VIAF (Weitere Personen);Orte;Geonames (Orte);Schlagwörter;Editionen;Vermerk;Bestand;Verweise;Digitalisate: Dateiname (Signatur);Zitierempfehlung
8016;CdS-b1-07vz;26.08.2021 10:44;Brief;https://constance-de-salm.de/archiv/#/document/10500;CdS/16/001-003;Théis, Alexandre Étienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1807-07-25;Unterschiedliche Daten in Original und Abschrift. ;;;;;Abschrift;vollständig;;4;Enfin, chère sœur, nos lettres ne sont plus croisées, après l’avoir été régulièrement ;"Enfin, chère sœur, nos lettres ne sont plus croisées, après l’avoir été régulièrement ; Ihre Briefe haben sich überkreuzt. CdS’ Abreise aus Dyck früher als geplant. Feiern anlässlich des Friedens von Tilsit. Brief eines Bekannten aus Tilsit. Brief eines weiteren Bekannten, der sich derzeit in Polen aufhält. Dessen amouröse Abenteuer. Bitte um Diskretion. Gesundheit der Mutter. Gesundheit und Aussehen seiner Kinder Adolphe, Charles und Joséphine. Hitzewelle. Episode Adolphe. CdS’ Reise nach Kleve und Geldern, die beide nicht zu den Niederlanden gehören. Die Niederlande aus französischer Sicht. Zitat des ehemaligen französischen Botschafters. Ts Erfahrungen aus dem Elsass, das ihm deutsch erscheint trotz seiner Zugehörigkeit zu Frankreich. Sprache als ausschlaggebendes Kriterium. Grüße an Minette und SRD.";"Théis, Charles Constant de; Desbranches, Monsieur; Théis, Adolphe de; Théis, Anne Marie de, geb. Quillau (Mutter der CdS); Quelen de la Vauguyon, Paul François de ; Théis, Anne Marguerite de, geb. de Saint-Mars (Frau des Bruders der CdS); Théis, Joséphine de, verh. Saint-Cricq, gen. Finette";"http://d-nb.info/gnd/117624365; n/a; n/a; n/a; http://d-nb.info/gnd/104269049; n/a; n/a";"http://viaf.org/viaf/794527; n/a; n/a; n/a; http://viaf.org/viaf/24870687; n/a; n/a";"Warschau; Polen; Kleve; Danzig = Gdansk, Polen; Geldern ; Elsass; Tilsit = Sowetzk, Russland";"https://www.geonames.org/756135; https://www.geonames.org/798544; https://www.geonames.org/2887835; https://www.geonames.org/3099434; https://www.geonames.org/2755634; https://www.geonames.org/3038032; https://www.geonames.org/490068";"Krieg/Konflikt; Deutschland - Wahrnehmung; Sprachen/-unterricht";;;Schloss Dyck;Original: CdS/71/026-028(https://constance-de-salm.de/archiv/#/document/9913);"CdS-b1-07vz-0.jpg (CdS/16/001); CdS-b1-07vz-1.jpg (CdS/16/002); CdS-b1-07vz-2.jpg (CdS/16/003)";CdS/16/001-003. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/10500.
9366;CdS-b1-0864;26.08.2021 10:44;Brief;https://constance-de-salm.de/archiv/#/document/10870;CdS/27/035-036;Mentelle, Edme;http://d-nb.info/gnd/100208878;http://viaf.org/viaf/76326269;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1810-04-15;;Bourg-la-Reine;https://www.geonames.org/3030990;;;Abschrift;vollständig;;3;Madame la comtesse, vous rendez trop de justice à mes sentiments pour avoir;Aufenthalt Ms auf dem Land. Dadurch verspäteter Erhalt eines Briefs der CdS. CdS muss ein Schreiben an den Secrétaire de la classe des sciences physiques et mathématiques de l'Institut de France an M. Lalande richten. Unklarer Bezug auf Hilfe bzw. Gefallen der CdS bezüglich einer Schrift (?). Zwei Vorhaben des M. : Einsatz für einen vielversprechenden jungen Mann. Kundtun seiner Dankbarkeit für von der imperialen Familie erhaltene Wohltaten. Versuch des M., dass seine Frau einen Teil seiner Pension zugesprochen bekommt. Finanzielle Lage bzw. Schulden bei seinem Tod. Bevorstehendes Treffen mit CdS am Freitag. Frühes Eintreffen des M., um ihr Vertrauliches mitzuteilen.;Lefrançois de Lalande, Joseph Jérôme;http://d-nb.info/gnd/104234059;http://viaf.org/viaf/95196947;;;;;Datum im Original 15.5.1810;Schloss Dyck;(https://constance-de-salm.de/archiv/#/document/3513);"CdS-b1-0864-0.jpg (CdS/27/035); CdS-b1-0864-1.jpg (CdS/27/036)";CdS/27/035-036. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/10870.
6820;CdS-b1-0863;26.08.2021 10:44;Brief;https://constance-de-salm.de/archiv/#/document/10869;CdS/27/034-035;Mentelle, Edme;http://d-nb.info/gnd/100208878;http://viaf.org/viaf/76326269;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1810-05-12;;;;;;Abschrift;vollständig;;2;Madame la comtesse, enchanté du présent que vous m'avez fait hier;Lektüre der „Éloge historique de M. de Lalande“ der CdS. Ergiebigere Schrift einer anderen Schriftstellerin, was die Akademien betrifft, aber Lob der Schrift der CdS. Zweifel, ob er selbst eines solchen Nachrufs würdig wäre, um den er CdS gebeten hatte. Gewöhnlichkeit seiner Biographie. Für CdS notierte Anekdoten. Verständnis, wenn CdS ihm keinen Nachruf schreiben will.;Lefrançois de Lalande, Joseph Jérôme;http://d-nb.info/gnd/104234059;http://viaf.org/viaf/95196947;;;;;;Schloss Dyck;(https://constance-de-salm.de/archiv/#/document/3512);"CdS-b1-0863-0.jpg (CdS/27/034); CdS-b1-0863-1.jpg (CdS/27/035)";CdS/27/034-035. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/10869.
9407;CdS-b1-08c9;26.08.2021 10:44;Brief;https://constance-de-salm.de/archiv/#/document/11094;CdS/29/026-028;Langlès, Louis-Mathieu;http://d-nb.info/gnd/116725087;http://viaf.org/viaf/32118316;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1810-05-28;;;;;;Abschrift;vollständig;;5;Belle comtesse et bonne voisine, j'ai reçu vos deux aimables messives [sic];Hat zwei Nachrichten von CdS erhalten. Plaudert von gemeinsamen Freunden: Talmas, einer Schülerin Laroche, Mademoiselle Maillard, Mademoiselle Clairon, Claviers, einer Mme Renais[?]. Essen bei Madame Hanguet mit Claviers, Benoit, Didot, Andrieux. Erzählt von seiner Frau. Einladung von persischem Botschafter. Nachricht an Gudin weitergereicht.;"Andrieux, François; Clavier, Étienne; Didot, Firmin; Gudin de La Brenellerie, Paul-Philippe; Talma, François-Joseph; Clairon, Claire-Josèphe, genannt Mademoiselle; Maillard, Mademoiselle; Talma, Madame; Clavier, Madame; Hanguet, Madame; Benoit, Monsieur; Langlès, Madame";"http://d-nb.info/gnd/116310197; http://d-nb.info/gnd/117691259; http://d-nb.info/gnd/116173068; http://d-nb.info/gnd/116909102; http://d-nb.info/gnd/117198838; http://d-nb.info/gnd/104270608; n/a; n/a; n/a; n/a; n/a; n/a";"http://viaf.org/viaf/2465625; http://viaf.org/viaf/25386357; http://viaf.org/viaf/54239780; http://viaf.org/viaf/74615637; http://viaf.org/viaf/54253906; http://viaf.org/viaf/95241722; n/a; n/a; n/a; n/a; n/a; n/a";;;Gesellschaftliches Leben;;;Schloss Dyck;;"CdS-b1-08c9-0.jpg (CdS/29/026); CdS-b1-08c9-1.jpg (CdS/29/027); CdS-b1-08c9-2.jpg (CdS/29/028)";CdS/29/026-028. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/11094.
10640;CdS-b1-0867;26.08.2021 10:44;Brief;https://constance-de-salm.de/archiv/#/document/10873;CdS/27/041-042;Mentelle, Edme;http://d-nb.info/gnd/100208878;http://viaf.org/viaf/76326269;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1810-10-11;;;;;;Abschrift;vollständig;;3;Madame la comtesse, je n'ai pas encore la réponse du libraire;Ausstehende Antwort eines Buchhändlers in Bezug auf Bücher für die Écoles militaires. Antwort des Creuzé auf Dankesschreiben des M. Pin und R. haben ihre Frauen verlassen. Beide hat M. nie bei CdS gesehen. Umzug des M. Neue Vermieterin. Baldiges Zusammentreffen mit Gudin im Institut und dann Erledigung eines Auftrags der CdS. Neue Wohnung und deren günstige Lage. Besuch im Théâtre français und Kritik verschiedener Stücke.;"Andrieux, François; Gudin de La Brenellerie, Paul-Philippe; Esménard, Joseph-Alphonse; Pugnet, Monsieur; Pin, Monsieur; Vaudoyer, Madame; Geoffroy, Julien Louis; Roger, Monsieur; Roger, Jacques-François, baron";"http://d-nb.info/gnd/116310197; http://d-nb.info/gnd/116909102; http://d-nb.info/gnd/117512885; n/a; n/a; n/a; http://d-nb.info/gnd/1055195289; n/a; http://d-nb.info/gnd/133535355";"http://viaf.org/viaf/2465625; http://viaf.org/viaf/74615637; http://viaf.org/viaf/71390721; n/a; n/a; n/a; http://viaf.org/viaf/2561290; n/a; http://viaf.org/viaf/49230825";;;;;;Schloss Dyck;(https://constance-de-salm.de/archiv/#/document/3480);"CdS-b1-0867-0.jpg (CdS/27/041); CdS-b1-0867-1.jpg (CdS/27/042)";CdS/27/041-042. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/10873.
10636;CdS-b1-0860;26.08.2021 10:44;Brief;https://constance-de-salm.de/archiv/#/document/10866;CdS/26/035-036;Duval, Amaury, eigentl. Charles-Alexandre-Amaury Pineux;http://d-nb.info/gnd/116258659;http://viaf.org/viaf/59072566;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1810-10-30;;Paris;https://www.geonames.org/2988507;;;Abschrift;vollständig;;3;Madame, oui, je vous écrirai au moins une fois;D. macht sich große Sorgen um die Zeitschrift „Mercure“, die verboten werden sollte. Alle Hoffnung für die einzige literarische Zeitschrift Frankreichs liegt nun beim Kaiser. Freut sich über die Aufführung von CdS' „Cantate“ in Aachen. Sein Bruder Henry Duval hat einen Sohn bekommen.;Duval, Henri;http://d-nb.info/gnd/102992886X;http://viaf.org/viaf/219445287;Aachen;https://www.geonames.org/3247449;"Constance de Salm - Rezeption; CdS: Cantate sur le mariage de Sa Majesté l'Empereur (1810)";;;Schloss Dyck;;"CdS-b1-0860-0.jpg (CdS/26/035); CdS-b1-0860-1.jpg (CdS/26/036)";CdS/26/035-036. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/10866.
5539;CdS-b1-0868;26.08.2021 10:44;Brief;https://constance-de-salm.de/archiv/#/document/10874;CdS/27/055-056;Mentelle, Edme;http://d-nb.info/gnd/100208878;http://viaf.org/viaf/76326269;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1811-08-11;ce dimanche;;;;;Abschrift;vollständig;;2;Madame la comtesse, si vous ne recevez pas plus de lettres, sans doute ;Bewunderung für CdS. Vorzüge der CdS. Lob. Finanzielle Situation des M. Einsparungen durch Umzug. Bitte um Vertraulichkeit. Unterhalt und Vorsorge für seine Frau.;"Gudin de La Brenellerie, Paul-Philippe; Chaulaire, Monsieur; Dupont, comtesse de";"http://d-nb.info/gnd/116909102; n/a; n/a";"http://viaf.org/viaf/74615637; n/a; n/a";;;Wirtschaft/Finanzen;;;Schloss Dyck;(https://constance-de-salm.de/archiv/#/document/3430);"CdS-b1-0868-0.jpg (CdS/27/055); CdS-b1-0868-1.jpg (CdS/27/056)";CdS/27/055-056. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/10874.
9362;CdS-b1-086x;26.08.2021 10:44;Brief;https://constance-de-salm.de/archiv/#/document/10899;CdS/27/071;Mentelle, Edme;http://d-nb.info/gnd/100208878;http://viaf.org/viaf/76326269;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1812-03-17;;;;;;Abschrift;vollständig;;1;Madame la comtesse, je m'empresse de vous dire la satisfaction que m'a causé;Glückwünsche zur Ernennung des Bruders der CdS zum 'Conseiller de la Préfecture'. Beweis, dass man an ihn denkt, Möglichkeit, dass er es zum Präfekten bringen wird.;Théis, Alexandre Étienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;;;Karriere/-förderung;;;Schloss Dyck;(https://constance-de-salm.de/archiv/#/document/3445);CdS-b1-086x-0.jpg (CdS/27/071);CdS/27/071. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/10899.
5543;CdS-b1-087g;26.08.2021 10:44;Brief;https://constance-de-salm.de/archiv/#/document/10918;CdS/27/107-108;Mentelle, Edme;http://d-nb.info/gnd/100208878;http://viaf.org/viaf/76326269;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1812-06-06;;;;;;Abschrift;vollständig;;3;Madame la comtesse, j'ai pensé qu'il ne vous fallait pas moins qu'une bonne quinzaine de jours pour vous délasser de la;Vorstellung eines ehemaligen Schülers des M. bei der Prinzessin Élisa, deren Kinder er unterrichten wird. Unstimmigkeiten bei einem gemeinsamen Buchprojekt mit Duclerc bezüglich der Aufteilung des finanziellen Gewinns. Antwort auf Rat der CdS, sich als Autor des Buches nennen zu lassen. Meinung der Mme Mentelle zu dieser Angelegenheit. M. hat D. Arbeit verschafft. Dank für Hilfe Minettes bezüglich eines Werks über Afghanen. Grüße seiner Frau.;"Bonaparte, Élisa; Duclerc, Monsieur; Gay, Sophie, baronne de Lupigny, geb. Nichault de la Valette; Dulaure, Jacques-Antoine; Francq, Agathe Clémence, baronne de, geb. Pipelet, gen. Minette";"http://d-nb.info/gnd/118505483; http://d-nb.info/gnd/1014598621; http://d-nb.info/gnd/11647260X; http://d-nb.info/gnd/104345535; n/a";"http://viaf.org/viaf/4938897; http://viaf.org/viaf/88060644; http://viaf.org/viaf/27059297; n/a; n/a";;;;;;Schloss Dyck;(https://constance-de-salm.de/archiv/#/document/3511);"CdS-b1-087g-0.jpg (CdS/27/107); CdS-b1-087g-1.jpg (CdS/27/108)";CdS/27/107-108. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/10918.
9380;CdS-b1-087h;26.08.2021 10:44;Brief;https://constance-de-salm.de/archiv/#/document/10919;CdS/27/119-121;Mentelle, Edme;http://d-nb.info/gnd/100208878;http://viaf.org/viaf/76326269;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1812-09-02;;;;;;Abschrift;vollständig;;4;Madame la comtesse, êtes-vous encore en voyage?;Bitte um Neuigkeiten von CdS. Bei einem Ausflug zufällige Bekanntschaft mit verschiedenen Leuten. Wiedersehen. Zu diesem Anlass verfasste Verse des M.;Francq, Agathe Clémence, baronne de, geb. Pipelet, gen. Minette;;;;;;;;Schloss Dyck;(https://constance-de-salm.de/archiv/#/document/3506);"CdS-b1-087h-0.jpg (CdS/27/119); CdS-b1-087h-1.jpg (CdS/27/120); CdS-b1-087h-2.jpg (CdS/27/121)";CdS/27/119-121. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/10919.
