"";"id";"main_num";"Nr.";"Verfasser";"Verfasser_1genre";"Verfasser_2genre";"Empfänger";"Datierung..JJJJ.MM.TT.";"Ausstellungsort";"Umfang.in.Seiten";"Anfang.des.Briefes";"Weitere.Personen";"Orte";"Schlagwörter"
"1";1;"main1";"CdS/31/166-167";"Salm, Constance de (CdS)";"Female";"Female";"Pailliet, Jean Baptiste Joseph (Anwalt der CdS in Orléans, um 1829)";1841-11-09;"Dyck (Schloss), Gde. Jüchen";2;"Il y a bien longtemps, Monsieur, que nous n’avons entendu parler l’un de l’autre, et j’oserais à peine";"Pipelet, Jean-Baptiste";NA;"CdS: Œuvres complètes (1842); Tod/Trauer; CdS: Vierbändige Werkausgabe (1835/1836), 2 Prosa- und 2 Poesiebände"
"2";4;"main1";"CdS/31/132-135";"Salm, Constance de (CdS)";"Female";"Female";"Pailliet, Jean Baptiste Joseph (Anwalt der CdS in Orléans, um 1829)";1829-06-03;"Dyck (Schloss), Gde. Jüchen";8;"Après avoir reçu votre dernière lettre, Monsieur, je me suis décidée, quoique avec beaucoup de regret à quitter Paris";"Théis, Alexandre Étienne Guillaume, baron de (Bruder der CdS); Carlier, [Jean?] (Bürgermeister von Coucy bzw. Folembray); Berville, Saint-Albin; Dufour, Monsieur (Jurist); Lemaître, Monsieur (CdS' Anwalt in Laon)";"Tours";"Wirtschaft/Finanzen; Prozess/Gericht"
"3";7;"main1";"CdS/31/158-160";"Salm, Constance de (CdS)";"Female";"Female";"Pailliet, Jean Baptiste Joseph (Anwalt der CdS in Orléans, um 1829)";1837-04-13;"Paris";5;"Je vous ai fait envoyer hier, Monsieur, la signification du jugement que j’ai reçue à Dyck";"Salm-Reifferscheidt-Dyck, Joseph Fürst und Altgraf zu (SRD)";NA;"Wirtschaft/Finanzen; Prozess/Gericht"
"4";9;"main1";"CdS/02_1/031";"Salm, Constance de (CdS)";"Female";"Female";"Beaufort d'Hautpoul, Anne-Marie, comtesse de, geb. de Montgeroult";NA;NA;1;"Martini vient de me remettre votre lettre";"Martini, Jean Paul Égide, eigentl. Johann Paul Ägidius Martin bzw. Schwarzendorf";NA;"Constance de Salm - Rezeption; CdS: Sapho (1794)"
"5";10;"main1";"CdS/02_1/032-033";"Salm, Constance de (CdS)";"Female";"Female";"Thurot, Jean-François";1794-06-28;NA;2;"Citoyen aimable, je me reproche véritablement le long temps";"Martini, Jean Paul Égide, eigentl. Johann Paul Ägidius Martin bzw. Schwarzendorf; Ginguené, Pierre-Louis; Dumont, Pierre-Joseph; Codrika, Panagiotis";NA;"Pressefreiheit/Zensur; CdS: Sapho (1794); Vermarktung"
"6";13;"main1";"CdS/02_1/036-037";"Salm, Constance de (CdS)";"Female";"Female";"Valant, Joseph-Honoré";NA;"Paris";2;"Citoyen, j’ai lu avec toute l’attention qu’il mérite l’ouvrage que vous m’avez envoyé";NA;NA;"Briefpartner/Werk; Todesstrafe"
"7";15;"main1";"CdS/02_1/050-051";"Salm, Constance de (CdS)";"Female";"Female";NA;NA;NA;2;"J’ai reçu, Monsieur, les vers aimables que vous m’avez adressés";NA;NA;"Gelehrte Gesellschaft; Briefpartner/Werk"
"8";22;"main1";"CdS/02_1/061-062";"Salm, Constance de (CdS)";"Female";"Female";"Salis, Sophie de, verh. baronne de Triqueti";1798-04-07;NA;3;"J’ai vu hier, Mademoiselle, la personne que vous aviez chargée de m’apporter votre lettre";NA;NA;"Briefpartner/Werk; Musik; CdS: Vers sur les dissentions des gens de lettres (1797)"
"9";23;"main1";"CdS/02_1/078";"Salm, Constance de (CdS)";"Female";"Female";"Salis, Sophie de, verh. baronne de Triqueti";1798-10-14;NA;1;"Une assez longue indisposition, Mademoiselle, m’a privée jusqu’à présent du plaisir de répondre";"Metastasio, Pietro; Pignotti, Lorenzo";NA;"Briefpartner/Werk"
"10";26;"main1";"CdS/02_1/116-117";"Salm, Constance de (CdS)";"Female";"Female";"Andrieux, François";1802-01-07;"Paris";2;"Cher confrère en Apollon, je veux vous prier de me rendre un service.";"Picard, Louis-Benoît";NA;"Constance de Salm - Vermarktung; Literarisches Geschehen/Neuerscheinung"
"11";28;"main1";"CdS/02_1/122";"Salm, Constance de (CdS)";"Female";"Female";"Picard, Louis-Benoît";1802-01-16;NA;1;"Malgré tous les embarras dont vous devez être accablé, permettez-moi";NA;NA;"Literarisches Geschehen/Neuerscheinung; Theater"
"12";30;"main1";"CdS/02_1/104-105";"Salm, Constance de (CdS)";"Female";"Female";"Salis, Sophie de, verh. baronne de Triqueti";1800-11-10;NA;3;"J’ai voulu bien souvent prendre la plume pour vous écrire, ma chère amie, mais mille circonstances";"Pipelet, Jean-Baptiste; Francq, Agathe Clémence, baronne de, geb. Pipelet, gen. Minette";NA;"Ehe/Liebe"
"13";31;"main1";"CdS/02_1/102-103";"Salm, Constance de (CdS)";"Female";"Female";"Salis, Sophie de, verh. baronne de Triqueti";1800-08-14;NA;3;"J'ai reçu hier votre aimable lettre, ma chère élève, et je suis bien sensible aux assurances d'amitié que vous me donnez,";"Boileau, Nicolas";NA;"Emanzipation/Frau; CdS: Épîtres à Sophie (1801)"
"14";32;"main1";"CdS/02_1/099";"Salm, Constance de (CdS)";"Female";"Female";"Salis, Sophie de, verh. baronne de Triqueti";1800-05-29;NA;2;"J’ai reçu hier deux de vos lettres, ma chère amie, mais, autant que j’ai pu";"Pugnet, Monsieur";NA;"Alter/Jugend; Ehe/Liebe"
"15";34;"main1";"CdS/02_1/090-091";"Salm, Constance de (CdS)";"Female";"Female";"Salis, Sophie de, verh. baronne de Triqueti";1799-08-03;NA;3;"Je suis bien coupable envers vous, ma chère et intéressante élève, car je vous dois une réponse";NA;NA;"Alter/Jugend; Freundschaft"
"16";35;"main1";"CdS/02_1/098";"Salm, Constance de (CdS)";"Female";"Female";"Salis, Sophie de, verh. baronne de Triqueti";1800-05-02;NA;1;"Je suis étonnée, ma chère amie, de ne pas recevoir de vos nouvelles depuis quelque temps";NA;"Lyon; Montargis";"Reise/Mobilität; Freundschaft"
"17";38;"main1";"CdS/02_1/147-150";"Salm, Constance de (CdS)";"Female";"Female";"Raboteau, Pierre Paul";1806-08-04;"Dyck (Schloss), Gde. Jüchen";6;"J’ai reçu votre très aimable lettre peu de jours après mon arrivée ici";"Salm-Reifferscheidt-Dyck, Joseph Fürst und Altgraf zu (SRD); Napoléon Ier Bonaparte, Kaiser der Franzosen";NA;"Deutschland - Wahrnehmung"
