...1;FuD.Key;Nr.;Verfasser;GND..Verfasser.;VIAF..Verfasser.;EmpfÌ_nger;GND..EmpfÌ_nger.;VIAF..EmpfÌ_nger.;Datierung..JJJJ.MM.TT.;Ausstellungsort;Geonames..Ausstellungsort.;Empfangsort;Geonames..Empfangsort.;Vorlage;VollstÌ_ndigkeit.des.Archivals;ErlÌ_uterung.UnvollstÌ_ndigkeit;Umfang.in.Seiten;Anfang.des.Briefes;Inhaltliche.Stichpunkte;Weitere.Personen;GND..Weitere.Personen.;VIAF..Weitere.Personen.;Orte;Geonames..Orte.;SchlagwÌ¦rter;Weitere_Pers1_genre;Weitere_Pers2_genre;Verfasser1_gender;Verfasser2_gender
2892;CdS-b1-08jg;CdS/31/166-167;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Pailliet, Jean Baptiste Joseph (Anwalt der CdS in OrlÌ©ans, um 1829);http://d-nb.info/gnd/121286169;http://viaf.org/viaf/17555308;1841-11-09;Dyck (Schloss), Gde. JÌ_chen;https://www.geonames.org/2894637;NA;NA;Abschrift;vollstÌ_ndig;NA;2;Il y a bien longtemps, Monsieur, que nous n‰Ûªavons entendu parler l‰Ûªun de l‰Ûªautre, et j‰Ûªoserais ÌÊ peine;Bitte um Sterbeurkunde ihres geschiedenen Mannes. Vorbereitung einer neuen, grÌ¦ÌÙeren Werkausgabe.;Pipelet, Jean-Baptiste;NA;https://viaf.org/viaf/188712285;NA;NA;"CdS: Õuvres complÌ¬tes (1842); Tod/Trauer; CdS: VierbÌ_ndige Werkausgabe (1835/1836), 2 Prosa- und 2 PoesiebÌ_nde";NA;NA;Female;NA
3378;CdS-b1-08je;CdS/31/132-135;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Pailliet, Jean Baptiste Joseph (Anwalt der CdS in OrlÌ©ans, um 1829);http://d-nb.info/gnd/121286169;http://viaf.org/viaf/17555308;1829-06-03;Dyck (Schloss), Gde. JÌ_chen;https://www.geonames.org/2894637;NA;NA;Abschrift;vollstÌ_ndig;NA;8;AprÌ¬s avoir reÌ¤u votre derniÌ¬re lettre, Monsieur, je me suis dÌ©cidÌ©e, quoique avec beaucoup de regret ÌÊ quitter Paris;CdS wieder auf Schloss Dyck. Bitte an Berville, ihr ein Gutachten zu erstellen. Angeblicher Wohlstand der Erben Pipelet. P.s Lob ihrer ‰Û_PensÌ©es‰ÛÏ [Abschrift aus dem vorangegangenen Brief]. Fortsetzung 1829-06-07: P. in Paris. Spekulationen Ì_ber vermeintlichen Reichtum der Erben Pipelet. AusfÌ_hrungen zum Wert eines Landgutes aus CdS‰Ûª Besitz.;"ThÌ©is, Alexandre Ìätienne Guillaume, baron de (Bruder der CdS); Carlier, [Jean?] (BÌ_rgermeister von Coucy bzw. Folembray); Berville, Saint-Albin; Dufour, Monsieur (Jurist); LemaÌ¨tre, Monsieur (CdS' Anwalt in Laon)";"http://d-nb.info/gnd/120564734; n/a; http://d-nb.info/gnd/123728851; n/a; n/a";"http://viaf.org/viaf/32148970; n/a; http://viaf.org/viaf/46869684; n/a; n/a";Tours;https://www.geonames.org/2972191;"Wirtschaft/Finanzen; Prozess/Gericht";male;NA;Female;NA
4327;CdS-b1-08jf;CdS/31/158-160;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Pailliet, Jean Baptiste Joseph (Anwalt der CdS in OrlÌ©ans, um 1829);http://d-nb.info/gnd/121286169;http://viaf.org/viaf/17555308;1837-04-13;Paris;https://www.geonames.org/2988507;NA;NA;Abschrift;vollstÌ_ndig;NA;5;Je vous ai fait envoyer hier, Monsieur, la signification du jugement que j‰Ûªai reÌ¤ue ÌÊ Dyck;Verlorener Prozess. Suche nach Ursachen. Weiteres Vorgehen. Finanzielle Fragen. CdS‰Ûª Vertrauen in P.;Salm-Reifferscheidt-Dyck, Joseph FÌ_rst und Altgraf zu (SRD);http://d-nb.info/gnd/1159074453;http://viaf.org/viaf/1847152636116120051820;NA;NA;"Wirtschaft/Finanzen; Prozess/Gericht";male;NA;Female;NA
5439;CdS-b1-07r3;CdS/28/003;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Duval, Alexandre, eigentl. Alexandre-Vincent Pineux;http://d-nb.info/gnd/104201088;http://viaf.org/viaf/100176929;1827-10-22;Dyck (Schloss), Gde. JÌ_chen;https://www.geonames.org/2894637;NA;NA;Abschrift;vollstÌ_ndig;NA;1;Lisez, mon cher Duval, la lettre ci-jointe dont l‰Ûªadresse est chargÌ©e de tout ce qui prouve qu‰Ûªelle a couru le monde.;Beiliegend ein Brief fÌ_r D., den CdS versehentlich nie abgeschickt hat (CdS/28/004-006). AnkÌ_ndigung ihrer Ankunft in Paris im Dezember, Bitte um Benachrichtigung seines Bruders. Freude darÌ_ber, diesmal nicht allein, sondern in Begleitung SRDs zu sein. Bemerkung Ì_ber Humorlosigkeit der Deutschen. Bitte um Brief nach Aachen. GrÌ_ÌÙe auch an seinen Bruder.;Duval, Amaury, eigentl. Charles-Alexandre-Amaury Pineux;http://d-nb.info/gnd/116258659;http://viaf.org/viaf/59072566;Aachen;https://www.geonames.org/3247449;Deutschland - Wahrnehmung;NA;NA;Female;NA
5467;CdS-b1-07vy;CdS/16/003-004;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;ThÌ©is, Alexandre Ìätienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;1814-04-27;Dyck (Schloss), Gde. JÌ_chen;https://www.geonames.org/2894637;NA;NA;Abschrift;vollstÌ_ndig;NA;3;"Cher frÌ¬re; je suis d‰Ûªune tristesse mortelle aujourd‰Ûªhui, et l‰Ûªespoir que cette lettre";Niedergeschlagenheit der CdS. Ìãrgerlicher Zwischenfall bei CdS‰Ûª Ankunft in Dyck: Ihre unangemeldete Vernehmung durch zwei Polizisten. CdS‰Ûª Unschuld. Ihre Wut und EmpÌ¦rung Ì_ber diese Art des Umgangs mit ihr und Abfassen eines Beschwerdebriefs an den Gouverneur gÌ©nÌ©ral. Beschwerde auch von Seiten SRDs.;Salm-Reifferscheidt-Dyck, Joseph FÌ_rst und Altgraf zu (SRD);http://d-nb.info/gnd/1159074453;http://viaf.org/viaf/1847152636116120051820;NA;NA;Verbrechen;male;NA;Female;NA
5468;CdS-b1-07w1;CdS/16/007-009;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;ThÌ©is, Alexandre Ìätienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;1821-05-13;Dyck (Schloss), Gde. JÌ_chen;https://www.geonames.org/2894637;NA;NA;Abschrift;unvollstÌ_ndig;Der Brief bricht auf der vierten Seite mittem im Satz ab.;4;Cher frÌ¬re, j‰Ûªai reÌ¤u avant hier ta premiÌ¬re lettre et hier ta seconde;Dank fÌ_r zwei Briefe. Einquartierung von MilitÌ_rs in Dyck. VolljÌ_hrigkeit des Constant. Schwierigkeiten, eine Summe Geldes zu empfangen. VerstÌ_ndigung mit Vormund, T.s Schwager Saint-Mars, und Dankbarkeit der CdS ihm gegenÌ_ber. Briefe der Minette bitte an CdS, auch diejenigen aus Vingtains Besitz. Aufbewahrung fÌ_r die Enkel. Nach Aussage einer Madame Poisson angeblich brisante Papiere in Minettes Nachlass. Briefe des P[ipelet?]. Vertrauensvolles VerhÌ_ltnis zwischen CdS und Minette. Kosten einer Unterkunft. [Abbruch des Briefs mit der Bemerkung: ‰Û_Le reste de cette lettre ne s‰Ûªest pas trouvÌ©.‰ÛÏ];"Pipelet, Jean-Baptiste; Francq, Constant de; Saint-Mars, gÌ©nÌ©ral vicomte de (Bruder der SchwÌ_gerin der CdS); Francq, Agathe ClÌ©mence, baronne de, geb. Pipelet, gen. Minette; Vingtain, Monsieur (Notar in Paris); Poisson, Madame (Siehe Poisson de La ChabeaussiÌ¬re)";"n/a; n/a; n/a; n/a; n/a; n/a";"https://viaf.org/viaf/188712285; n/a; n/a; n/a; n/a; n/a";NA;NA;"Wirtschaft/Finanzen; Tod/Trauer";NA;male;Female;NA
5471;CdS-b1-07wp;CdS/16/021-022;ThÌ©is, Alexandre Ìätienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1822-01-14;Laon;https://www.geonames.org/3007477;NA;NA;Abschrift;vollstÌ_ndig;NA;3;ChÌ¬re bonne sÒur, tu as vu les papiers publics, et tu sais nos changements.;Unvorhergesehene Abberufung des bisherigen PrÌ_fekten, der innerhalb von 24 Stunden zusammen mit Frau und Kindern die Stadt verlÌ_sst, zu seinem und T.s Bedauern. Warten auf die Ankunft des Nachfolgers und ÌÏbernahme der GeschÌ_fte bis dahin. TÌ_tigkeiten des ehemaligen PrÌ_fekten. Schwierige Zeiten und BemÌ_hungen des T., dem KÌ¦nig zu dienen. T.s Kenntnis der Bewohner des Departements und ÌÏberzeugung, dass dieses ruhig bleibt, aber unklare Zukunft. Brief von Vingtain mit Nachricht vom Tod der Mutter des ‰Û_Colonel‰ÛÏ und Einzelheiten zu einer Vollmacht fÌ_r einen Arzt. Freude Ì_ber Brief des SRD und dessen Interesse fÌ_r sein Buch ‰Û_PolyclÌ¬te‰ÛÏ. CdS in Aachen. GrÌ_ÌÙe.;"Louis XVIII, KÌ¦nig von Frankreich; Talleyrand-PÌ©rigord, Alexandre AngÌ©lique; Talleyrand-PÌ©rigord, Alexandre Daniel de; Vingtain, Monsieur (Notar in Paris)";"http://d-nb.info/gnd/118780743; http://d-nb.info/gnd/115814965; http://d-nb.info/gnd/1117477460; n/a";"http://viaf.org/viaf/84035484; http://viaf.org/viaf/46809676; http://viaf.org/viaf/7806147872020575170001; n/a";NA;NA;"Frankreich - Politik; Karriere/-fÌ¦rderung";NA;male;Male;NA
5478;CdS-b1-07x1;CdS/16/029-031;ThÌ©is, Alexandre Ìätienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1822-03-08;Laon;https://www.geonames.org/3007477;NA;NA;Abschrift;vollstÌ_ndig;NA;4;ChÌ¬re bonne soeur, depuis huit jours, j'ai menÌ© une vie si rompue;Ts Gesundheitszustand. Ankunft des PrÌ_fekten M. de Floriac. Positiver erster Eindruck. T. wird ihn bitten, ihm nicht die Sous-PrÌ_fektur zu geben. Gesundheitszustand der CdS und Rat des T., nicht verschiedene Behandlungen zu mischen. ErklÌ_rungen zu einer von CdS falsch aufgefassten Bemerkung des T. (T. kann CdS nur in Paris sehen, bevorzugt aber fÌ_r sie Deutschland als Aufenthaltsort). Versicherung seiner Zuneigung fÌ_r die Freunde der CdS, aber aus Stolz wollte er sie nicht um etwas bitten. T. schÌ_tzt die Verdienste ihrer Freunde, aber sie sind unbedeutende Schriftsteller (‰Û_auteurs de second ordre‰ÛÏ), die frÌ_her nicht in die AcadÌ©mie berufen worden wÌ_ren. Bevorzugung ihrer alten Freunde (SÌ©daine, Martini, Lalande, Lebrun, de Lille), die von einem anderen Kaliber sind. Dies Ì_ndert jedoch nichts an seiner generellen WertschÌ_tzung fÌ_r sie. LektÌ_re des ‰Û_RÌ©nÌ©gat‰Û.;"Delille, Jacques, gen. abbÌ© Delille; Martini, Jean Paul Ìägide, eigentl. Johann Paul Ìãgidius Martin bzw. Schwarzendorf; Mentelle, Edme; LefranÌ¤ois de Lalande, Joseph JÌ©rÌ«me; Floirac, Jacques-Ìätienne de La Grange-Gourdon, comte de; Vingtain, Monsieur (Notar in Paris); Sedaine, Michel Jean";"http://d-nb.info/gnd/118679325; http://d-nb.info/gnd/120252805; http://d-nb.info/gnd/100208878; http://d-nb.info/gnd/104234059; http://d-nb.info/gnd/1031748733; n/a; http://d-nb.info/gnd/118795961";"http://viaf.org/viaf/59081234; http://viaf.org/viaf/19866122; http://viaf.org/viaf/76326269; http://viaf.org/viaf/95196947; http://viaf.org/viaf/215034736; n/a; http://viaf.org/viaf/73863522";NA;NA;"Gelehrte Gesellschaft; Karriere/-fÌ¦rderung; Freundschaft";male;female;Male;NA
5489;CdS-b1-07zl;CdS/16/082-087;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;ThÌ©is, Alexandre Ìätienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;1825-11-01;Aachen;https://www.geonames.org/3247449;NA;NA;Abschrift;vollstÌ_ndig;NA;10;J‰Ûªai reÌ¤u, cher frÌ¬re, tes deux lettres, et j‰Ûªattendais pour rÌ©pondre ÌÊ la premiÌ¬re;Erhalt zweier Briefe. Besserung des Gesundheitszustandes der Tochter des T. Fassungslosigkeit der CdS Ì_ber Anschuldigungen des T. in seinem ersten Brief an sie [C04/S29/087-089]. Aussprache Ì_ber Konflikte der vergangenen vier Jahre. Starkes GefÌ_hl des Verletztseins bei CdS, vor allem aufgrund der verÌ¦ffentlichten ÌãuÌÙerungen des T. zum Thema Scheidung in einer ohnehin besonders schwierigen Phase der CdS [nach dem Tod Minettes]. [Fortsetzung 1825-11-04:] EnttÌ_uschung und Ìãrger Ì_ber Ts Verletzungen. Sehr enge Bindung der CdS zu ihrem Bruder. Ts Misstrauen gegenÌ_ber CdS und ihren Freunden in der Literaturszene, seine mangelnde UnterstÌ_tzung der CdS in schwerer Zeit. Klage, T. schreibe zu viel nach realen, wiedererkennbaren Vorbildern, darunter CdS und SRD. Betonung ihrer finanziellen und sonstigen EigenstÌ_ndigkeit. CdS‰Ûª BedÌ_rfnis nach Ruhe, ihre Verantwortung fÌ_r die Enkel. Ts mangelnde Sorgfalt in der Verwaltung der Vormundschaft der Enkel. CdS‰Ûª Versicherung ihrer Zuneigung und ihres Wunsches nach einer weiterhin engen Bindung. Vermutung, T. habe auch berufliche GrÌ_nde, sich von CdS und ihren Freunden zu distanzieren. Verweis auf CdS‰Ûª UnterstÌ_tzung fÌ_r Ts Sohn Adolphe. Verweis auf die verstorbene Mutter, die T. zur VersÌ¦hnung mit CdS mahnen wÌ_rde. [Fortsetzung 1825-11-08:] Erleichterung nach Abschluss des Briefs. Bitte um Stellungnahme seinerseits.;"Barbier, Antoine-Alexandre; Salm-Reifferscheidt-Dyck, Joseph FÌ_rst und Altgraf zu (SRD); ThÌ©is, Adolphe de; ThÌ©is, Anne Marie de, geb. Quillau (Mutter der CdS); Francq, drei Enkel der CdS; ThÌ©is, JosÌ©phine de, verh. Saint-Cricq, gen. Finette";"http://d-nb.info/gnd/116051795; http://d-nb.info/gnd/1159074453; n/a; n/a; n/a; n/a";"http://viaf.org/viaf/7386511; http://viaf.org/viaf/1847152636116120051820; n/a; n/a; n/a; n/a";NA;NA;"Freundschaft; Familie/Familienrecht";NA;male;Female;NA
5490;CdS-b1-07yv;CdS/16/039-040;"ThÌ©is, Anne Marguerite de, geb. de Saint-Mars (Frau des Bruders der CdS); ThÌ©is, JosÌ©phine de, verh. Saint-Cricq, gen. Finette";"n/a; n/a";"n/a; n/a";Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1822-06-12;Laon;https://www.geonames.org/3007477;NA;NA;Abschrift;vollstÌ_ndig;NA;3;Je dÌ©sire bien, ma chÌ¬re sÒur, que vous soyez contente de votre santÌ© et que les eaux d‰ÛªAix continuent;Erkundigung nach CdS‰Ûª Gesundheit wÌ_hrend ihres Aachen-Aufenthalts. Hitzewelle. Ts Ehemann und Sohn in Aventure. CdS‰Ûª Erholung in Aachen. Neuigkeiten von Adolphe, derzeit mit dem KÌ¦nig in Saint-Cloud. Ts Bruder noch immer in Wien. Vorhaben, Charles unter seiner Aufsicht und mit seiner Hilfe im diplomatischen Corps unterzubringen. CdS‰Ûª Enkel. Besondere Begabungen des Constant. GrÌ_ÌÙe an SRD. Folgt auf demselben Blatt ein Brief der Tochter JosÌ©phine: Erkundigung nach Mademoiselle Simon. Ihre Fortschritte im Zeichnen und auf dem Klavier. Bekanntschaft mit dem Oberst eines Husarenregiments und seiner Frau, einer begabten Malerin. GrÌ_ÌÙe an ihre Cousins und Bitte um einen Brief von Constant. GrÌ_ÌÙe an SRD. GrÌ_ÌÙe an Mademoiselle Dahmen und Mademoiselle Simon.;"Dahmen, Ida, verh. Mengelbier; ThÌ©is, Alexandre Ìätienne Guillaume, baron de (Bruder der CdS); ThÌ©is, Charles Constant de; ThÌ©is, Adolphe de; Louis XVIII, KÌ¦nig von Frankreich; Francq, drei Enkel der CdS; Simon(s), Mademoiselle; Saint-Mars, Monsieur de";"n/a; http://d-nb.info/gnd/120564734; http://d-nb.info/gnd/117624365; n/a; http://d-nb.info/gnd/118780743; n/a; n/a; n/a";"n/a; http://viaf.org/viaf/32148970; http://viaf.org/viaf/794527; n/a; http://viaf.org/viaf/84035484; n/a; n/a; n/a";"Saint-Cloud; Wien; Aventure / L'Aventure (Schloss), Gde. Chauny";"https://www.geonames.org/2981041; https://www.geonames.org/2761369; https://www.geonames.org/3025860";"Bildende Kunst; Karriere/-fÌ¦rderung; Musik; Gesundheit/Krankheit; Erziehung/PÌ_dagogik; Familie/Familienrecht";female;male;Female;Female
