Lettre	Date	Lieu de création	Auteur	Destinataire	Personnes mentionnées	Lieux mentionnés	Œuvres mentionnées
1858_01	1858-03-16	[Paris], 80 rue d’Amsterdam	Scholderer, Otto	Fantin-Latour, Henri	Ritter, Francine Ottin, Léon		
1858_02	1858-05-19	Francfort-sur-le-Main, Gallengasse n° 6	Scholderer, Otto	Fantin-Latour, Henri	Sinet, Louis René Hippolyte Ottin, Léon Solon, Marc Louis Emanuel Ferlet, Guillaume Legros, Alphonse	Paris Francfort-sur-le-Main	
1858_03	1858-07-05	Francfort [sur le Main]	Scholderer, Otto	Fantin-Latour, Henri	Mozart, Wolfgang Amadeus Rembrandt Legros, Alphonse Veronese, Paolo Ottin, Léon Solon, Marc Louis Emanuel Ferlet, Guillaume Normand Saint-Marcel, Emile	Paris Francfort-sur-le-Main	S Selbstbildnis des 24jährigen Künstlers (autoportrait de l'artiste âgé de 24 ans) S Kopie nach Ferdinand Bol, Bildnis eines jungen Herren (copie d'après Ferdinand Bol, portrait d'un jeune homme) S Teilkopie nach Ferdinand Bol, Bildnis eines älteren Herren (copie partielle d'après Ferdinand Bol, portrait d'un jeune homme) S Kopie nach Cornelis Janssens van Ceulen, Bildnis einer Dame aus dem 17. Jh. (copie d'après Cornelis Janssens van Ceulen, portrait de dame du XVIIe siècle) S Kopie nach Rembrandt (copie d'après Rembrandt) S Kopie nach Giorgion/Tizian, Fête Champêtre (copie d'après Giorgione/Titien, Fête champêtre) F Copie d'après La Vierge de Séville de Murillo (1665) F Copie d'après Les noces de Cana de Véronèse (1562)
1858_04	1858	[Francfort-sur-le-Main]	Fantin-Latour, Henri	Fantin-Latour, Henri	Legros, Alphonse Fantin-Latour, Marie Fantin-Latour, Nathalie Courbet, Gustave Ribeira, Jusepe de, gen. lo Spagnoletto Corot, Jean-Baptiste Camille Holbein Titien Ritter, Francine Ottin, Léon Solon, Marc Louis Emanuel Ferlet, Guillaume Le Corrège	Paris Francfort-sur-le-Main Dijon Paris, Salon	S Porträt der alten Dame Henriette Flersheim († 1858) (portrait de la femme âgée Henriette Flersheim) F Portrait d'Alphonse Legros F Autoportrait assis devant son chevalet F Autoportrait debout, la palette à la main F Les deux sœurs
1858_05	1858	Francfort [sur le Main]	Scholderer, Otto	Fantin-Latour, Henri	Burnitz, Karl Peter Courbet, Gustave Ritter, Monsieur Legros, Alphonse Le Corrège Leys Willems, Florent Cornelius, Peter von Vernier, Émile Séraphin Giorgione Régamey, Guillaume Ottin, Léon Solon, Marc Louis Emanuel Ferlet, Guillaume	Paris, Musée du Louvre Munich Francfort-sur-le-Main Francfort sur le Main, Kunstverein Munich, Glaspalast de Munich Paris, Salon des refusés Paris, Salon	F Autoportrait assis devant son chevalet F Portrait d'Alphonse Legros F Autoportrait debout, la palette à la main S Bildnis des Bankiers Heinrich Carl Wilhelm Müller (portrait du banquier Heinrich Carl Wilhelm Müller) S Bildnis der Susette Müller-Kolligs (portrait de Susette Müller-Kolligs) S Porträt der alten Dame Henriette Flersheim († 1858) (portrait de la femme âgée Henriette Flersheim) S Kopie nach Giorgion/Tizian, Fête Champêtre (copie d'après Giorgione/Titien, Fête champêtre) F Copie d'après Les noces de Cana de Véronèse (1562)
1859_01	1859-01-09	Francfort [sur le Main]	Scholderer, Otto	Fantin-Latour, Henri	Legros, Alphonse Courbet, Gustave Vélasquez, Diego Erlanger	Paris Francfort-sur-le-Main Paris, galerie Pourtalès Paris, Salon	
1859_02	1859	Francfort [sur le Main]	Scholderer, Otto	Fantin-Latour, Henri	Ritter, Francine Müller, Victor Burnitz, Karl Peter Courbet, Gustave Titien Whistler, James Abbott MacNeill Millet, Jean-François Delacroix, Eugène Corot, Jean-Baptiste Camille Legros, Alphonse Ottin, Léon Solon, Marc Louis Emanuel	Paris Francfort-sur-le-Main Francfort sur le Main, Kunstverein Paris, Salon	F Les deux sœurs F Autoportrait, debout tenant un pinceau F Portrait de Marie Fantin-Latour F Copie d'après La mise au tombeau de Titien (vers 1525) F Copie d'après La mise au tombeau de Titien (vers 1525)
1859_03	1859	Kronberg	Scholderer, Otto	Fantin-Latour, Henri	Courbet, Gustave Müller, Victor Legros, Alphonse Ottin, Léon Solon, Marc Louis Emanuel Raphaël Rembrandt Holbein Vélasquez, Diego	Londres Paris Paris, Musée du Louvre Francfort-sur-le-Main Paris, galerie Pourtalès Kronberg im Taunus	S Hof eines Bauernhauses in Kronberg (cours d'une maison paysanne à Kronberg)
1860_01	1860	Francfort sur le Main, 6 Gallengasse	Scholderer, Otto	Fantin-Latour, Henri	La Caze, Louis Courbet, Gustave Vélasquez, Diego Legros, Alphonse Ritter, Francine Ritter, Monsieur Ottin, Léon Solon, Marc Louis Emanuel Ferlet, Guillaume Müller, Victor Le Sueur, Eustache	Paris, galerie Lacaze Paris Paris, Musée du Louvre	
1862_01	1862-02-18	Francfort sur le Main, Papageistrasse n° 7	Scholderer, Otto	Fantin-Latour, Henri	Fantin-Latour, Hélène Fantin-Latour, Jean-Théodore Fantin-Latour, Nathalie Müller, Victor Burnitz, Karl Peter Corot, Jean-Baptiste Camille Delacroix, Eugène Courbet, Gustave Millet, Jean-François Chardin, Jean-Baptiste Siméon Wagner, Richard Schubert Schumann, Robert Legros, Alphonse Ottin, Léon Solon, Marc Louis Emanuel Desportes, Alexandre-François	Paris Francfort-sur-le-Main Paris, Salon	F Portrait d'Alphonse Legros F Autoportrait assis devant son chevalet F Autoportrait debout, la palette à la main F Les deux sœurs S Selbstbildnis (autoportrait) S Selbstbildnis mit Palette und Pinsel (autoportrait avec palette et pinceau) S Selbsbildnis im Atelier (autoportrait dans l'atelier)
1862_02	1862-09-21	Francfort [sur le Main]	Scholderer, Otto	Fantin-Latour, Henri	Ritter Scholderer, Emil Scholderer, Adolphe	Francfort-sur-le-Main Kronberg im Taunus	S Knabe mit Ziege (jeune homme avec chèvre)
1863_01	1863	Francfort [sur le Main]	Scholderer, Otto	Fantin-Latour, Henri	Müller, Victor Burnitz, Karl Peter Scholderer, Emil Chardin, Jean-Baptiste Siméon Ritter, Francine Rembrandt Snyers, Pieter Colin Ottin, Léon Ferlet, Guillaume Solon, Marc Louis Emanuel Scholderer, Ida	Londres Paris Paris, Musée du Louvre Francfort-sur-le-Main Paris, Salon des refusés Paris, Salon	F La lecture (portrait de Marie Fantin-Latour) F Portrait de Fantin F Féerie S Stilleben mit totem Reh (nature morte au chevreuil) S Kleines Selbstbildnis (petit autoportrait) S Frühstücksstilleben mit Schnapsglas (nature morte de petit déjeuner au verre de schnaps) S Stilleben mit abgenagtem Kalbsknochen (nature morte à l'os de veau rongé)
1865_01	1865-01-04	Francfort [sur le Main]	Fantin-Latour, Henri	Fantin-Latour, Henri	Rembrandt Giorgione Müller, Victor Burnitz, Karl Peter Scholderer, Ida Scholderer, Emil Heilbuth, Ferdinand Legros, Alphonse	Londres Berlin Paris Francfort-sur-le-Main Vienne Cassel (Hesse) Cassel, Gemäldegalerie Alte Meister	S Jäger und Hirsch (chasseur et cerf) S Stilleben mit totem Reh (nature morte au chevreuil) S Kopie nach Giorgion/Tizian, Fête Champêtre (copie d'après Giorgione/Titien, Fête champêtre) S Gemüseverkäuferin - Marché aux légumes/ Gemüsemarkt (marchande de légume)
1865_02	1865-01-29	Francfort [sur le Main]	Scholderer, Otto	Fantin-Latour, Henri	Whistler, James Abbott MacNeill Legros, Alphonse Becker von Worms, Jakob Courbet, Gustave Edwards, Edwin Hardy -Alan, Müller, Victor Ritter, Francine Millet, Jean-François Delacroix, Eugène Courbet Géricault, Théodore Gerson, famille Gerson, Bertha	Londres Paris Paris, Musée du Louvre Francfort-sur-le-Main Paris, Salon Sunbury-on-Thames	F Le toast et La vérité S Stilleben mit totem Reh (nature morte au chevreuil) F Copie, quatrième version des Noces de Cana de Véronèse (1562) F Copie d'après Le Radeau de la Méduse de Géricault (1817)
1865_03	1865-02-14	[Francfort-sur-le-Main]	Scholderer, Otto	Fantin-Latour, Henri	Courbet, Gustave Gerson, Bertha Hals, Frans Whistler, James Abbott MacNeill La Caze, Louis Rembrandt Müller, Victor Chardin, Jean-Baptiste Siméon	Paris Paris, Musée du Louvre Paris, Salon Bruxelles, Exposition générale des Beaux-Arts	F Le toast et La vérité S Gemüseverkäuferin - Marché aux légumes/ Gemüsemarkt (marchande de légume) S Jäger und Hirsch (chasseur et cerf)
1865_04	1865-02-22	Francfort [sur le Main]	Scholderer, Otto	Fantin-Latour, Henri		Bruxelles, Exposition générale des Beaux-Arts	S Stilleben mit totem Reh (nature morte au chevreuil) S Jäger und Hirsch (chasseur et cerf)
1865_05	1865-03-11	Francfort [sur le Main]	Scholderer, Otto	Fantin-Latour, Henri	Heilbuth, Ferdinand Müller, Victor Deforge, Burnitz, Karl Peter Rembrandt Vélasquez, Diego Courbet, Gustave Delacroix, Eugène David, Jacques-Louis Corot, Jean-Baptiste Camille Millet, Jean-François Ingres, Jean-Auguste-Dominique Peipers, Giorgione	Francfort-sur-le-Main	S Gemüseverkäuferin - Marché aux légumes/ Gemüsemarkt (marchande de légume) S Stilleben mit totem Reh (nature morte au chevreuil) F Le toast et La vérité S Jäger und Hirsch (chasseur et cerf)
1865_06	1865-03-25	Francfort [sur le Main]	Scholderer, Otto	Fantin-Latour, Henri	Gerson, famille Müller, Victor Deforge, Burnitz, Karl Peter	Paris	F Copie, quatrième version des Noces de Cana de Véronèse (1562) S Stilleben mit totem Reh (nature morte au chevreuil) S Gemüseverkäuferin - Marché aux légumes/ Gemüsemarkt (marchande de légume) S Stilleben mit zwei Wildenten und einem Karpfen auf heller Steinbank (nature morte avec deux canards sauvages et une carpe sur un banc de pierre) S Jäger und Hirsch (chasseur et cerf) F Le toast et La vérité
1865_07	1865-04-11	Francfort [sur le Main]	Scholderer, Otto	Fantin-Latour, Henri	Courbet, Gustave Delacroix, Eugène Ingres, Jean-Auguste-Dominique Corot, Jean-Baptiste Camille Millet, Jean-François Rembrandt Giorgione Müller, Victor Gerson, famille Whistler, James Abbott MacNeill Ritter	Francfort-sur-le-Main Paris, Salon	F Le toast et La vérité S Stilleben mit Wild und Geflügel (nature morte avec gibier et volaille)
1865_08	1865-04-20	Francfort [sur le Main]	Scholderer, Otto	Fantin-Latour, Henri	Courbet, Gustave Delacroix, Eugène Millet, Jean-François Corot, Jean-Baptiste Camille	Paris Paris, Salon des refusés Paris, Salon	S Stilleben mit totem Reh (nature morte au chevreuil) S Gemüseverkäuferin - Marché aux légumes/ Gemüsemarkt (marchande de légume)
1865_09	1865	[Paris]	Fantin-Latour, Henri	Scholderer, Otto			
1865_10	1865-05-19	Francfort [sur le Main]	Scholderer, Otto	Fantin-Latour, Henri	Müller, Victor Burnitz, Karl Peter Ritter, Francine Schrecker, Otto Schreyer, Adolphe	Paris Munich Francfort-sur-le-Main Kronberg im Taunus	S Gemüseverkäuferin - Marché aux légumes/ Gemüsemarkt (marchande de légume) S Stilleben mit Wild und Geflügel (nature morte avec gibier et volaille) S Jäger und Hirsch (chasseur et cerf) F Le toast et La vérité
1865_11	1865-06-14	[Francfort-sur-le-Main]	Scholderer, Otto	Fantin-Latour, Henri	Burnitz, Karl Peter	Gand, Exposition nationale Gand, Salon triennal	
1865_12	1865-06-19	Francfort [sur le Main]	Scholderer, Otto	Fantin-Latour, Henri	Müller, Victor Burnitz, Karl Peter Corot, Jean-Baptiste Camille Manet, Edouard	Gand, Exposition nationale Gand, Salon triennal Paris Francfort-sur-le-Main Paris, Salon	S Gemüseverkäuferin - Marché aux légumes/ Gemüsemarkt (marchande de légume) S Jäger und Hirsch (chasseur et cerf)
1865_13	1865-06-28	Francfort [sur le Main]	Scholderer, Otto	Fantin-Latour, Henri	Müller, Victor Hardy -Alan,	Gand, Exposition nationale Gand, Salon triennal Paris	S Stilleben mit totem Reh (nature morte au chevreuil) S Jäger und Hirsch (chasseur et cerf) S Gemüseverkäuferin - Marché aux légumes/ Gemüsemarkt (marchande de légume)
1865_14	1865-07-15	Francfort [sur le Main]	Scholderer, Otto	Fantin-Latour, Henri	Manet, Edouard Couture, Thomas Proudhon, Pierre-Joseph Ritter Rotschild, Famille Burnitz, Karl Peter	Paris	F Le toast et La vérité
