ID	Auteur	No de catalogue	Titre	Date	Technique	Dimensions	Lieu de conservation	Renvoi dans lettre no
#17662	Scholderer		Reh mit Fischen (chevreuil et poissons)	1873				1873_04
#17660	Scholderer		Pfau mit Hasen (paon et lièvre)	1873				1873_04 1873_05
#17908	Fantin		Esquisse pour le portrait de la famille Fitz-James	1867	mine de plomb sur papier beige	19,2 x 25,7 cm	Paris, musée du Louvre, cabinet des Dessins	1867_03 1869_02
#17728	Fantin		Giroflées et cerisier sauvage en fleurs	1876	huile sur toile	47,5 x 43 cm	Collection particulière	1876_05
#17700	Fantin		Copie d'après la Vierge au lapin de Titien (vers 1530)	1870	huile sur toile	50 x 60 cm	non localisé	1879_18
#17563	Scholderer		Zwei kleine Vögel (deux petits oiseaux)	1875	huile sur toile	24,5 x 17,5 cm	Schweinfurt, Museum Georg Schäfer	1875_17 1876_01
#17663	Scholderer		Schnee im Schwarzwald (neige dans la Forêt-Noire)	1873				1873_04
#17661	Scholderer		Zwei kleine Vögel (deux petits oiseaux)	1873				1873_04
#17463	Scholderer	B.1	Kopie nach Ferdinand Bol, Bildnis eines jungen Herren (copie d'après Ferdinand Bol, portrait d'un jeune homme)	1851	huile sur toile	96 x 80 cm	Francfort-sur-le-Main, Städelsches Kunstinstitut	1858_03
#17518	Scholderer	B.102	Zwei grosse Stilleben mit Georginen (Dahlien) I und II (deux grandes natures mortes avec dahlias I et II)	1871			non localisé	1871_02 1871_05
#17519	Scholderer	B.107	The Love Story	1871	huile sur toile	64,4 x 50,5 cm	Collection particulière	1871_05 1871_08
#17520	Scholderer	B.108	Brieflesendes Mädchen (Jeune femme lisant une lettre)	1871	huile sur toile	38,5 x 32 cm	Schweinfurt, Museum Georg Schäfer	1871_05
#17521	Scholderer	B.110a	Szene an der Eisenbahn, zwei Damen und ein Kind mit Hund (Scène sur la voie ferrée, deux dames et un enfant avec un chien)	1872			non localisé	1872_01 1872_02
#17522	Scholderer	B.111a	Szene am Ufer der Themse (scène sur les bords de la Tamise)	1872			non localisé	1872_02
#17523	Scholderer	B.112	Junge Dame in einem Kahn (jeune femme dans une barque)	1872	huile sur carton	31 x 40 cm	Collection particulière	1872_02
#17524	Scholderer	B.117	Birkhahn auf grauem Hintergrund darunter auf weissem Marmor ein Fasan mit einer Ente (coq de bruyère brun et gris tacheté, en dessous un faisan et un canard sur du marbre blanc)	1872			non localisé	1872_04 1873_02
#17525	Scholderer	B.118	Stilleben mit Möve und Raben, darunter auf dem Marmor ein Wildhase (nature morte avec mouette et corbeau, en dessous un lièvre sur du marbre blanc)	1872				1873_02
#17551	Scholderer	B.121	Bildnis der Luise Scholderer (portrait de Louise Scholderer)	1873	huile sur toile	39 x 29 cm	Francfort-sur-le-Main, Städtische Galerie	1873_02
#17549	Scholderer	B.122	Frau Scholderer am Früstücktisch (Madame Scholderer à la table du petit déjeuner)	1872	huile sur toile	56 x 46 cm	Francfort-sur-le-Main, Historisches Museum	1873_02
#17550	Scholderer	B.123	Porträt der Luise Scholderer (portrait de Louise Scholderer)	1873	huile sur toile	31,6 x 40 cm	Londres, National Gallery	1875_02
#18398	Scholderer	B.124	Bildnis der Luise Scholderer (portrait de Louise Scholderer)	1873	huile sur toile	69 x 82 cm	Francfort-sur-le-Main, Städtische Galerie	1873_02 1875_02 1875_07 1875_08
